Time [ms],Ox High (FLowmeter),Ox Low (Flowmeter),Eth High (Flowmeter),Eth Low (Flowmeter),Eth Chamber Pres.,Ox Chamber Pres.,Chamber Pres.,Load Cell,Thermocouple [C]
23496,12.26,17.12,-46.28,-45.73,2.23,5.26,5.26,0,33.5
23597,8.67,17.12,-46.28,-45.73,-3.81,2.23,5.26,0,33.5
23698,15.84,17.12,-42.91,-45.73,-3.81,-0.79,5.26,0,33.5
23799,12.26,17.12,-42.91,-49.15,-3.81,2.23,2.23,0,33.5
23900,12.26,17.12,-46.28,-45.73,-0.79,2.23,5.26,0,33.75
24001,12.26,17.12,-46.28,-45.73,-0.79,2.23,8.28,0,33.5
24102,12.26,17.12,-46.28,-49.15,-0.79,2.23,5.26,0,33.5
24203,15.84,24.34,-46.28,-52.56,2.23,2.23,5.26,0,33.5
24304,12.26,17.12,-46.28,-45.73,2.23,5.26,5.26,0,33.5
24406,12.26,17.12,-39.53,-45.73,2.23,2.23,5.26,0,33.5
24506,12.26,17.12,-46.28,-45.73,2.23,5.26,5.26,0,33.5
24607,8.67,17.12,-46.28,-45.73,-0.79,2.23,2.23,0,33.5
24708,12.26,17.12,-42.91,-45.73,2.23,-3.81,5.26,0,33.75
24809,8.67,20.73,-46.28,-45.73,2.23,2.23,5.26,21.29,33.5
24910,12.26,17.12,-46.28,-45.73,5.26,5.26,5.26,0,33.5
25011,12.26,20.73,-46.28,-45.73,2.23,2.23,2.23,0,33.5
25112,12.26,17.12,-42.91,-45.73,2.23,2.23,5.26,0,33.5
25213,8.67,17.12,-42.91,-45.73,-0.79,2.23,8.28,0,33.5
25314,12.26,17.12,-46.28,-45.73,-0.79,5.26,5.26,0,33.5
25415,12.26,20.73,-46.28,-45.73,2.23,2.23,2.23,0,33.5
25516,8.67,20.73,-42.91,-45.73,2.23,5.26,-6.84,0,33.5
25617,12.26,17.12,-46.28,-45.73,-0.79,2.23,5.26,0,33.5
25718,8.67,17.12,-46.28,-49.15,-0.79,5.26,8.28,0,33.5
25819,8.67,17.12,-46.28,-42.32,2.23,5.26,5.26,0,33.5
25920,12.26,17.12,-46.28,-45.73,-0.79,2.23,5.26,0,33.5
26021,8.67,17.12,-46.28,-42.32,2.23,5.26,5.26,0,33.5
26123,8.67,17.12,-46.28,-45.73,2.23,5.26,8.28,0,33.5
26223,8.67,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.5
26325,12.26,20.73,-46.28,-45.73,2.23,2.23,5.26,0,33.5
26425,12.26,17.12,-46.28,-45.73,2.23,5.26,5.26,0,33.5
26526,12.26,20.73,-46.28,-45.73,2.23,2.23,2.23,0,33.5
26627,12.26,20.73,-42.91,-45.73,2.23,2.23,5.26,0,33.5
26728,8.67,17.12,-46.28,-45.73,-0.79,2.23,5.26,0,33.5
26829,12.26,17.12,-46.28,-45.73,-0.79,5.26,2.23,0,33.5
26930,12.26,17.12,-46.28,-45.73,5.26,2.23,5.26,0,33.5
27031,5.09,20.73,-42.91,-45.73,2.23,2.23,8.28,0,33.5
27132,8.67,17.12,-42.91,-45.73,-0.79,-0.79,8.28,0,33.5
27233,8.67,17.12,-46.28,-45.73,2.23,11.3,8.28,0,33.5
27334,15.84,20.73,-46.28,-45.73,2.23,5.26,5.26,0,33.5
27435,12.26,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.5
27536,12.26,17.12,-46.28,-45.73,2.23,2.23,2.23,0,33.5
27637,12.26,17.12,-42.91,-45.73,2.23,2.23,5.26,0,33.5
27739,12.26,20.73,-46.28,-45.73,2.23,2.23,5.26,0,33.5
27839,12.26,17.12,-46.28,-45.73,2.23,5.26,2.23,0,33.5
27941,12.26,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.5
28042,12.26,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.5
28143,12.26,17.12,-42.91,-45.73,2.23,5.26,5.26,0,33.5
28243,12.26,17.12,-42.91,-45.73,14.33,2.23,5.26,0,33.5
28344,8.67,17.12,-42.91,-49.15,-0.79,5.26,2.23,0,33.5
28445,8.67,17.12,-46.28,-45.73,2.23,2.23,2.23,0,33.5
28546,12.26,20.73,-46.28,-45.73,2.23,5.26,5.26,0,33.5
28648,15.84,17.12,-42.91,-45.73,-0.79,2.23,8.28,0,33.5
28749,12.26,17.12,-46.28,-49.15,-0.79,2.23,5.26,0,33.5
28849,8.67,20.73,-46.28,-45.73,2.23,2.23,-0.79,0,33.5
28950,12.26,17.12,-46.28,-49.15,-0.79,8.28,5.26,0,33.5
29051,12.26,20.73,-46.28,-45.73,-0.79,2.23,2.23,0,33.5
29152,12.26,17.12,-42.91,-45.73,-0.79,-0.79,5.26,0,33.5
29253,12.26,17.12,-42.91,-49.15,2.23,5.26,2.23,0,33.5
29354,12.26,20.73,-46.28,-45.73,2.23,5.26,5.26,0,33.5
29455,8.67,20.73,-42.91,-45.73,2.23,5.26,5.26,0,33.5
29557,8.67,17.12,-46.28,-45.73,2.23,5.26,5.26,0,33.5
29658,12.26,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.5
29758,12.26,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.5
29859,12.26,17.12,-42.91,-45.73,-0.79,5.26,5.26,0,33.5
29960,12.26,20.73,-46.28,-45.73,2.23,2.23,5.26,0,33.5
30061,12.26,17.12,-46.28,-49.15,-0.79,5.26,5.26,0,33.5
30162,8.67,17.12,-46.28,-45.73,2.23,2.23,2.23,0,33.5
30263,15.84,17.12,-42.91,-45.73,2.23,2.23,5.26,0,33.5
30364,12.26,20.73,-46.28,-49.15,2.23,2.23,8.28,0,33.5
30465,12.26,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.5
30566,12.26,17.12,-42.91,-45.73,2.23,-0.79,5.26,0,33.5
30667,12.26,17.12,-46.28,-45.73,2.23,-0.79,5.26,0,33.5
30768,12.26,17.12,-46.28,-45.73,2.23,2.23,5.26,0,33.5
30869,12.26,20.73,-46.28,-49.15,2.23,2.23,5.26,0,33.5
30970,12.26,17.12,-42.91,-45.73,2.23,5.26,5.26,0,33.5
31071,8.67,17.12,-46.28,-45.73,-0.79,8.28,5.26,24.89,33.5
31173,12.26,17.12,-46.28,-49.15,2.23,2.23,5.26,0,33.5
31274,12.26,17.12,-46.28,-45.73,2.23,5.26,5.26,0,33.5
