x,SL,4000ft,8000ft,12000ft,16000ft,20000ft,24000ft,28000ft,31000ft,std_37C,std_30C,std_20C,std_10C,std,std_neg10C,std_neg20C,std_neg30C
1.2322,142.9819,-67.2634,110.0362,92.1547,73.8643,57.9568,44.2472,32.7876,25.1891,32.2277,44.3021,63.3364,83.3086,118.3239,-1274.8534,-5278.8576,-95310.1401
1.4185,142.6983,-61.0017,109.7602,91.8731,73.6234,57.7717,44.0355,32.6295,25.0548,32.3952,44.4245,63.4635,83.4732,119.1524,-1303.8219,-5348.3499,-96216.1738
2.8392,140.5352,-17.639,107.6538,89.6591,71.7872,56.3894,42.4221,31.4237,24.0356,33.5645,45.3717,64.3785,84.7352,126.4157,-1538.0659,-5898.0041,-103315.6628
2.9581,140.3542,-14.3516,107.4775,89.4613,71.6338,56.2736,42.2874,31.3228,23.9507,33.6557,45.4519,64.4503,84.8413,127.1049,-1558.7572,-5945.5973,-103925.1053
3.863,138.9765,9.0218,106.1349,87.6119,70.468,55.3683,41.264,30.5549,23.3064,34.3249,46.066,64.9761,85.6507,132.8018,-1721.9115,-6316.0617,-108642.3327
4.4107,138.1426,21.7979,105.322,86.7356,69.7649,54.7887,40.647,30.0901,22.9182,34.7123,46.44,65.2818,86.1419,136.6605,-1825.6271,-6547.4545,-111565.8853
4.8747,137.4361,31.8427,104.6332,86.0736,69.1712,54.2802,40.1261,29.6965,22.5905,35.0318,46.7575,65.5365,86.5585,140.1872,-1916.4746,-6747.7486,-114083.1455
6.6805,134.6873,64.5391,101.952,83.6115,66.8882,52.225,38.1195,28.165,21.3252,36.2166,47.9923,66.5353,88.1781,156.3675,-2296.8732,-7565.227,-124238.838
7.0518,134.1222,70.0748,101.4007,83.1131,66.4265,51.7995,37.7119,27.8502,21.0673,36.4509,48.2447,66.7554,88.5093,160.2161,-2380.523,-7740.9256,-126398.632
7.9762,132.7151,82.2303,100.0278,81.8756,65.2913,50.7514,36.7058,27.0667,20.4283,37.0236,48.8686,67.3703,89.3287,170.6385,-2597.1391,-8189.9727,-131884.8546
8.9569,131.2225,92.7344,98.5713,80.5629,64.1103,49.6672,35.6538,26.2358,19.7559,37.617,49.5218,68.1338,90.187,183.0809,-2840.2377,-8684.6788,-137876.2709
9.0499,131.0809,93.6097,98.4332,80.4382,63.9995,49.5662,35.5549,26.157,19.6924,37.6726,49.5832,68.2086,90.2677,184.3385,-2864.0181,-8732.5896,-138453.7492
9.565,130.2971,98.0949,97.6683,79.7458,63.3905,49.0124,35.0105,25.7207,19.342,37.9788,49.9216,68.617,90.7121,191.5545,-2998.0015,-9001.0252,-141680.5834
9.9647,129.6888,101.1659,97.0748,79.2057,62.9227,48.5884,34.5917,25.3823,19.0713,38.2144,50.1823,68.9234,91.0539,197.455,-3104.692,-9213.0269,-144218.9154
12.3575,126.048,112.7424,93.5229,75.9153,60.2006,46.1239,32.1616,23.3581,17.4744,39.5965,51.7201,70.7001,93.0379,238.666,-3794.554,-10550.9922,-160050.1561
12.7893,125.391,112.0473,92.8823,75.3255,59.718,45.6885,31.7387,22.9932,17.1908,39.8419,51.9948,71.0472,93.3838,247.2473,-3928.6578,-10805.2567,-163024.9007
13.0707,124.963,111.594,92.4648,74.9439,59.4029,45.4058,31.4659,22.7555,17.0069,40.0013,52.1736,71.2712,93.6072,253.0389,-4017.6765,-10973.1067,-164983.1863
14.6846,122.5081,108.9929,90.0721,72.7946,57.5668,43.7963,29.9472,21.394,15.9651,40.91,53.1971,72.4287,94.8621,289.4181,-4553.4584,-11968.9417,-176517.2772
14.9633,122.0843,108.5434,89.6592,72.4288,57.2463,43.5198,29.6934,21.1592,15.7876,41.0662,53.3739,72.6216,95.0748,296.2663,-4650.4171,-12146.7122,-178561.9177
16.4616,119.806,106.1268,87.4409,70.4796,55.5289,42.0372,28.3745,19.8995,14.8467,41.9039,54.3272,73.6493,96.2004,336.0983,-5194.6707,-13132.2514,-189824.5745
16.4619,119.8054,106.1262,87.4404,70.4792,55.5285,42.0369,28.3742,19.8992,14.8465,41.9041,54.3274,73.6495,96.2006,336.1083,-5194.8035,-13132.4895,-189827.2806
17.146,118.7654,105.0226,86.4288,69.5962,54.7523,41.3604,27.7993,19.326,14.4248,42.2864,54.7655,74.1157,96.7051,356.0507,-5456.4464,-13599.4254,-195122.9054
17.3321,118.4824,104.7223,86.1536,69.3565,54.5419,41.1763,27.6459,19.1704,14.311,42.3905,54.8852,74.2424,96.8414,361.6751,-5529.1023,-13728.361,-196580.8587
20.239,114.0651,100.0317,81.8682,65.6417,51.2859,38.2801,25.4377,29.5841,12.5898,44.0257,56.7565,76.212,98.9047,461.0573,-6746.7054,-15847.5101,-220297.4138
20.7944,113.2216,99.1355,81.0526,64.9374,50.6671,37.719,25.0584,31.16,12.2743,44.3418,57.1065,76.5869,99.2787,482.6418,-6997.6007,-16275.4861,-225035.351
22.4684,110.6799,96.4341,78.6044,62.8256,48.8048,35.9999,24.0056,36.579,11.3539,45.3068,58.1241,77.7145,99.9881,553.0793,-7790.5977,-17611.5044,-239726.001
22.7815,110.2049,95.929,78.1489,62.4327,48.4569,35.6723,23.8245,37.7072,11.1874,45.4897,58.3065,77.9249,99.8252,567.1747,-7945.1156,-17869.0987,-242542.0179
22.8746,110.0636,95.7787,78.0136,62.316,48.3534,35.5744,23.7716,38.05,11.1381,45.5443,58.3602,77.9875,99.8385,571.426,-7991.4724,-17946.216,-243384.0737
24.3708,107.7943,93.3649,75.8532,60.4496,46.6913,33.9637,22.9854,44.0167,10.3719,46.4341,59.1842,78.9879,100.8499,643.421,-8760.657,-19215.3731,-257179.3408
24.6492,107.3722,92.9157,75.4541,60.1044,46.3819,33.6539,22.8527,45.2247,10.2347,46.6027,59.3289,79.1722,101.0385,657.6061,-8908.9708,-19457.9476,-259803.0656
24.9628,106.897,92.41,75.0061,59.7168,46.0337,33.3001,22.7086,46.6221,10.0823,46.7939,59.4884,79.3784,101.2535,673.8783,-9077.9113,-19733.4619,-262778.2406
25.3342,106.3342,91.8109,74.4769,59.2589,45.621,32.8727,22.5451,48.3299,9.905,47.0219,59.6726,79.6203,101.5113,693.5776,-9280.7999,-20063.2491,-266332.8635
27.1552,103.5776,88.8754,71.9008,57.04,43.5969,30.5451,21.8627,57.536,9.09,48.1498,60.5071,80.7175,102.8058,796.8798,-10318.5039,-21732.6236,-284221.0897
28.2868,101.8668,87.0533,70.2663,55.6844,42.3371,28.0942,21.5424,63.9798,8.6365,48.8425,60.9819,81.2794,103.6262,866.912,-11000.2739,-22814.9422,-295730.9562
28.6125,101.3746,86.5294,69.7749,55.2977,41.974,28.3517,21.4656,65.9407,8.5147,49.0384,61.1138,81.4236,103.8638,887.9277,-11201.8732,-23132.9694,-299100.7098
29.5288,99.9904,85.0571,68.3374,54.2183,40.9512,29.3612,21.2874,71.7166,8.1961,49.5768,61.4757,81.7995,104.5353,949.1464,-11781.9855,-24043.2868,-308716.7937
31.1544,97.5343,82.4265,65.784,52.3298,39.1282,32.2669,21.1134,82.9324,7.734,50.4723,62.0934,82.4023,105.7348,1065.5885,-12859.1729,-25715.976,-326278.4972
